"","Code","Location","Type","Longitude","Latitude"
"1","EQ_1","NP","LRP",118.582,-20.31737
"2","EQ_2","NP","LRP",118.585,-20.31737
"3","EQ_3","NP","LRP",118.588,-20.31737
"4","EQ_4","FI","LRP",118.5604,-20.3036
"5","EQ_5","FI","LRP",118.564,-20.3036
"6","EQ_6","FI","LRP",118.567,-20.3036
"7","EQ_7","NP","LRP",118.582,-20.31937
"8","EQ_8","NP","LRP",118.585,-20.31937
"9","EQ_9","NP","LRP",118.588,-20.31937
"10","EQ_10","FI","STK",118.5604,-20.31237
"11","EQ_11","FI","STK",118.564,-20.31237
"12","EQ_12","FI","STK",118.5604,-20.31437
"13","EQ_13","NP","STK",118.591,-20.31837
"14","EQ_14","NP","STK",118.594,-20.31837
"15","EQ_15","NP","STK",118.597,-20.31837
"16","EQ_16","NP","STK",118.6,-20.31837
"17","EQ_17","FI","STK",118.564,-20.31437
"18","EQ_18","FI","BWR",118.5604,-20.3056
"19","EQ_19","NP","BWR",118.591,-20.32037
"20","EQ_20","NP","BWR",118.592,-20.32037
"21","EQ_21","FI","BWR",118.564,-20.3056
"22","EQ_22","FI","BWR",118.567,-20.3056
"23","EQ_23","NP","CD",118.605,-20.31837
"24","EQ_24","NP","CD",118.607,-20.31837
"25","EQ_25","NP","CD",118.608,-20.31837
"26","EQ_26","FI","CD",118.5604,-20.31637
"27","EQ_27","FI","CD",118.564,-20.31637
"28","EQ_28","NP","SL",118.573,-20.31547
"29","EQ_29","NP","SL",118.574,-20.31647
"30","EQ_30","FI","SL",118.5604,-20.3076
"31","EQ_31","FI","SL",118.5624,-20.3076
"32","EQ_32","NP","SL",118.574,-20.31747
"33","EQ_33","NP","SL",118.575,-20.318
"34","EQ_34","FI","SL",118.566,-20.3206
"35","EQ_35","FI","SL",118.564,-20.3206
