"","Sample.Point","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06"
"1","FIAQRT001",1,23,28,29,28,29,26,8,26,28,30,24,17,25,29,30,31,29,30,28,27,21,20,15,27
"2","FIAQRT002",1,24,27,23,28,23,19,23,26,27,28,27,30,27,30,30,28,27,24,18,20,12,8,9,20
"3","FIAQRT003",1,16,17,10,18,15,15,17,12,15,13,21,29,26,29,16,21,21,22,18,22,24,20,21,28
"4","FIAQRT004",0,26,30,30,30,29,27,26,28,31,29,28,25,27,28,30,31,28,30,29,28,22,19,13,25
"5","FIAQRT005",0,8,0,0,4,1,3,0,3,2,8,3,8,13,15,4,1,2,3,3,2,0,1,2,8
"6","NPAQRT001",0,0,2,0,3,1,4,2,0,1,0,0,1,4,3,4,4,2,6,7,3,0,0,2,1
"7","NPAQRT002",0,0,0,0,0,0,2,1,0,0,0,0,2,3,2,0,2,1,2,1,0,0,0,0,1
"8","NPAQRT004",0,0,0,0,1,0,6,2,0,0,0,1,2,1,0,5,1,1,5,7,3,0,0,0,0
"9","NPAQRT005",0,11,15,2,8,6,4,5,3,4,8,7,17,15,13,10,10,5,7,6,6,6,10,12,11
"10","NPAQRT006",0,0,5,0,5,2,5,3,1,0,1,2,5,6,8,2,2,1,6,3,0,0,0,0,0
"11","NPAQRT008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","NPAQRT009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","NPAQRT011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","NPAQRT012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","NPAQRT020",0,0,0,0,0,0,2,3,0,0,0,0,1,0,1,0,1,2,0,4,0,0,0,0,0
"16","NPAQRT021",0,0,1,0,0,0,1,1,0,0,2,0,1,0,1,0,2,1,4,4,0,0,0,0,0
"17","NPAQRT022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,25,27,29,28
"18","NPAQRT023",0,0,0,0,0,0,1,4,2,0,0,1,0,0,0,2,7,1,1,6,0,0,0,3,1
"19","NPAQRT024",0,14,7,2,15,6,8,11,10,6,11,11,22,18,20,22,14,8,9,12,11,4,8,10,24
"20","NPAQRT025",1,11,13,3,10,4,8,12,12,4,10,12,17,15,21,19,16,14,12,12,9,2,8,12,20
"21","NPAQRT026",0,0,0,1,4,2,2,6,5,2,0,1,1,2,4,10,11,5,3,10,4,0,0,0,1
"22","NPAQRT027",1,12,20,15,18,18,17,18,12,8,20,15,20,19,23,23,22,20,17,15,11,1,6,8,13
"23","NPAQRT028",0,6,21,25,25,25,21,18,19,20,19,11,12,15,21,29,28,12,4,6,1,0,0,0,0
